codigo_departamento;codigo_municipio;nombre_departamento;nombre_municipio;departamento_guid
05;05679;ANTIOQUIA;SANTA BÁRBARA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05686;ANTIOQUIA;SANTA ROSA DE OSOS;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05690;ANTIOQUIA;SANTO DOMINGO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05697;ANTIOQUIA;EL SANTUARIO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05736;ANTIOQUIA;SEGOVIA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05756;ANTIOQUIA;SONSÓN;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05761;ANTIOQUIA;SOPETRÁN;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05789;ANTIOQUIA;TÁMESIS;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05790;ANTIOQUIA;TARAZÁ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05792;ANTIOQUIA;TARSO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05809;ANTIOQUIA;TITIRIBÍ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05819;ANTIOQUIA;TOLEDO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05837;ANTIOQUIA;TURBO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05842;ANTIOQUIA;URAMITA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05847;ANTIOQUIA;URRAO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05854;ANTIOQUIA;VALDIVIA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05856;ANTIOQUIA;VALPARAÍSO;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05858;ANTIOQUIA;VEGACHÍ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05861;ANTIOQUIA;VENECIA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05873;ANTIOQUIA;VIGÍA DEL FUERTE;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05885;ANTIOQUIA;YALÍ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05887;ANTIOQUIA;YARUMAL;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05890;ANTIOQUIA;YOLOMBÓ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05893;ANTIOQUIA;YONDÓ;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
05;05895;ANTIOQUIA;ZARAGOZA;afdb15f0-6eba-4e49-92fb-9c3721b94f8f
